Symbol	rbohD_Root_baseMeanB_GC	rbohD_Root_baseMeanA_FL
trypsin inhibitor	7.755440745	18.00104094
trypsin inhibitor	145.7001835	226.3233378
AK3	3127.95882	4875.51232
GSTF6	338.2435181	507.0066862
auxin-responsive	0.408689091	1.849177047
GLR1	55.50126376	99.86122482
-	18.47051007	31.44996651
phototropic-responsive	25.04822239	39.29710262
MES17	10.231296	21.96332722
-	11.96907657	28.55054062
-	8.939192388	51.55854694
legume lectin	64.05090216	262.1496003
nodulin MtN3	172.0454103	249.5995509
IKU2	695.5185274	1042.93515
BCAT4	6332.255848	9258.125487
HMT3	28.28478821	123.8497613
CYP71B18	1.388858277	2.986872175
CYP71B34	171.2338009	284.7407014
LBD24	0.669104705	2.692264037
transposable element gene	0.10300385	2.669343536
VPS24	0.101967203	2.310901171
SYP72	4.261215479	11.54591139
kinase	27.81414564	52.84048496
PFG3	185.4989378	253.6260292
PFG3	188.9891921	257.7744916
PFG3	177.6818778	243.8517795
PFG3	186.3202914	254.8040473
CYP71A24	1.747673585	5.799940802
CYP71A24	1.747673585	5.799940802
nodulin MtN3	56.37686155	150.4646416
-	3.087805476	9.865665648
SSL4	2.880504036	15.21330563
HSFA7A	108.0461777	156.2993238
kinase	9.571379245	28.76508672
TF	48.03634808	87.15447743
F-box	3.855465155	8.865019047
SIP2	5144.831833	7797.064138
SIP2	5093.308186	7717.265973
SIP2	5044.487743	7663.943529
SPL15	108.2241672	163.5533875
F-box	107.8550413	163.1827906
aconitase C-terminal	1095.156648	1545.075293
-	49.87710254	85.08195736
PP2-A13	345.1444314	566.1003605
PP2-A13	345.2472189	566.1003605
SAG21	1224.415573	1984.711667
SAG21	1216.334449	1972.758923
other RNA	1.333866815	7.439149926
other RNA	0.923924709	5.276635088
carbohydrate transmembrane transporter/ sugar:hydrogen symporter	159.2365638	230.3946202
SeIR	165.3867488	319.9155826
nodulin MtN21	919.220685	1848.204363
DNAJ	0.205791332	1.293246176
bile acid:sodium symporter	1504.427955	2084.06828
thioredoxin	1.284143844	10.17213618
trehalose-6-phosphate phosphatase	47.50176298	79.74443889
CPuORF26	47.50176298	79.74443889
LTP	40.09979175	150.7745894
AIR1	397.0778582	1711.2495
CYP702A5	239.7252424	760.1506902
CYP702A5	239.9310337	762.7562597
CYP702A5	240.1910166	761.0129145
-	640.6416109	890.786786
RLM3	25.20896493	50.83720179
RLM3	25.7225148	51.62639229
RLM3	27.47163741	53.25192965
RLM3	27.47163741	53.25192965
RLM3	27.47163741	53.25192965
TIP2;2	1042.718318	2654.248478
PUP7	47.29523647	116.85977
-	26.46849329	69.28173472
lipase	1.387364062	3.971802823
lipase	1.387364062	3.778565334
HSP26.5-P	20.12347299	35.28078677
LTP	18.03312827	76.94778408
-	31.18986519	49.3565439
-	32.9326171	52.82928281
PIP1D	1170.941613	1898.124195
oxidoreductase	37.94893347	57.29199837
oxidoreductase	37.28315507	55.33885817
aminotransferase	159.8167124	361.5817402
transposable element gene	133.7373016	209.2529673
kinase	19.26403196	31.73855401
-	269.3113998	570.0754205
HMA2	418.4691883	857.9592859
SEN4	222.8446971	537.936003
FAH1	234.5412913	614.2844595
mannitol transporter	73.05120159	188.1367417
sks15	221.4570303	730.0616452
-	20.17741638	48.41134211
CYP81D4	168.1598108	242.3614218
bHLH	23.59913346	49.04004671
kinase	1358.195253	1896.964197
trehalose-6-phosphate phosphatase	506.0008035	817.3656009
other RNA	30.81318485	55.45990251
protein binding	34.6021071	99.1860649
pyruvate decarboxylase	4.368411111	10.07292493
HIN1	78.24264709	132.1635261
GRP20	0.71852092	4.443027361
glycine/proline-rich	11.88806762	100.2433588
-	4.933017751	13.07911152
-	4.777508107	11.23227356
PDCB2	4.113545913	12.03703934
NADP-ME2	9522.991635	14325.92159
auxin-responsive	0.976842877	3.828177735
GDH1	1104.908889	1671.448441
-	143.2849661	261.7228806
-	52.88872224	111.5715638
zinc finger	52.85959977	215.6515264
MAM1	1485.164545	2650.530222
MTN3	27.77130308	70.91444103
ML	1095.582938	1628.879667
FRO4	1.388833446	9.578779889
CYP71B13	35.36733707	69.81571205
-	1096.737107	3214.017864
DNA binding	9.100649592	17.79224256
DNA binding	8.27707189	17.79703769
mitochondrial substrate carrier	70.70998283	112.6259156
-	54.02591713	116.7064604
-	52.89687056	111.3565415
beta-galactosidase	62.52826972	91.79603829
PP2C	227.1349414	353.6063616
PP2C	237.1580259	369.9719283
CYP91A1	8.170888073	28.53184662
gsl09	36.18672563	79.77654215
methyltransferase	7.669982917	34.57708917
methyltransferase	7.257771511	33.50992517
hydrolase	262.6975777	590.6619595
kinase	19.69993478	34.42531277
kinase	47.12858527	92.13463487
ATP binding	20.35606136	36.25303376
proline-rich	162.6214622	327.1119093
APS4	4386.631387	8223.748073
-	14.38142635	38.21612012
methyladenine glycosylase	56.07389904	111.1846686
protease	3.135666389	15.90162636
FKBP13	4.523769943	8.59603492
-	10.17095013	21.1244777
KCO2	1.694543518	7.472634524
peroxidase	7.543922691	26.74947674
TIP2;3	203.5288183	729.3780771
TDT	212.8700473	556.2397377
-	2.109864865	6.930588974
-	2.109864865	6.815180405
-	2.109864865	6.037752299
-	2.109864865	6.930588974
auxin-responsive	62.85369562	202.3358262
AGL71	3.356004551	23.19248575
AGL71	3.045760348	16.37514337
AGL71	3.356004551	25.74875642
CBS	271.3797736	909.6660924
nodulin MtN3	2.773761502	17.8099493
TRY	9.77016667	20.90261686
SPCH	0.101967203	0.819849508
kinase	11.57513214	26.96438726
UGT76E2	19.07966092	37.1640297
aldo/keto reductase	9.356088737	21.01333967
BT1	494.0004409	1011.218369
EXL2	1046.015367	1740.653262
-	201.4480586	298.1341373
-	39.9543294	66.76151476
